State,California,Carolinas,Central,Florida,Mid_Atlantic,Midwest,New_England,New_York,Northwest,Rocky_Mountains,Southeast,Southwest,Tennessee,Texas
Alabama,,,,,,,,,,,0.74,,0.26,
Arizona,,,,,,,,,,,,1,,
Arkansas,,,0.26,,,0.74,,,,,,,,
California,1,,,,,,,,,,,,,
Colorado,,,,,,,,,,1,,,,
Connecticut,,,,,,,1,,,,,,,
Delaware,,,,,1,,,,,,,,,
District of Columbia,,,,,1,,,,,,,,,
Florida,,,,0.94,,,,,,,0.06,,,
Georgia,,,,,,,,,,,0.98,,0.02,
Idaho,,,,,,,,,1,,,,,
Illinois,,,,,0.65,0.35,,,,,,,,
Indiana,,,,,0.21,0.79,,,,,,,,
Iowa,,,0.06,,,0.94,,,,,,,,
Kansas,,,1,,,,,,,,,,,
Kentucky,,,,,0.3,0.55,,,,,,,0.15,
Louisiana,,,0.07,,,0.93,,,,,,,,
Maine,,,,,,,1,,,,,,,
Maryland,,,,,1,,,,,,,,,
Massachusetts,,,,,,,1,,,,,,,
Michigan,,,,,0.04,0.96,,,,,,,,
Minnesota,,,0.01,,,0.99,,,,,,,,
Mississippi,,,,,,0.44,,,,,0.23,,0.32,
Missouri,,,0.35,,,0.65,,,,,,,,
Montana,,,0.07,,,,,,0.91,0.02,,,,
Nebraska,,,0.96,,,,,,,0.04,,,,
Nevada,,,,,,,,,1,,,,,
New Hampshire,,,,,,,1,,,,,,,
New Jersey,,,,,1,,,,,,,,,
New Mexico,,,0.35,,,,,,,0.05,,0.6,,
New York,,,,,,,,1,,,,,,
North Carolina,,0.96,,,0.04,,,,,,,,,
North Dakota,,,0.47,,,0.53,,,,,,,,
Ohio,,,,,1,,,,,,,,,
Oklahoma,,,0.95,,,0.05,,,,,,,,
Oregon,,,,,,,,,1,,,,,
Pennsylvania,,,,,1,,,,,,,,,
Rhode Island,,,,,,,1,,,,,,,
South Carolina,,1,,,,,,,,,,,,
South Dakota,,,0.5,,,0.25,,,,0.25,,,,
Tennessee,,,,,0.02,,,,,,,,0.98,
Texas,,,0.07,,,0.05,,,,,,0.01,,0.86
Utah,,,,,,,,,0.97,0.03,,,,
Vermont,,,,,,,1,,,,,,,
Virginia,,,,,1,,,,,,,,,
Washington,,,,,,,,,1,,,,,
West Virginia,,,,,1,,,,,,,,,
Wisconsin,,,,,,1,,,,,,,,
Wyoming,,,,,,,,,0.62,0.38,,,,
